Address,Latitude,Longitude
"990 renaissance dr, Oshawa, ON, L1J 8B2",43.856631,-78.864163
"1481 Ritson Rd S, Oshawa, ON, L1J 3M3",43.8611538,-78.8366938
"440 Dean Avenue, Oshawa, ON, L1H3E2",43.8886798,-78.841671
"373 Highland Avenue, Oshawa, ON, L1H 6B2",43.8921413,-78.8402833
"311 Poplar Street, Oshawa, ON, L1H 6P6",43.895383,-78.833887
"325 OSHAWA BLVD S, OSHAWA, ON, L1H 5R9, Canada",43.8918304,-78.8476205
"300 Courcellette Avenue, Oshawa, ON, L1H 2E5",43.8941503,-78.8498558
"250 athol st east, oshawa, ON, L1H 1K3",43.8988427,-78.8541416
"150 Centre Street South, Oshawa, ON, L1H 4A4",43.8930736,-78.8641154
"P.O. BOX 54005, OSHAWA, ON, L1H1Y1, Canada",43.8916387,-78.8638313
"P.O. BOX 54005, OSHAWA, ON, L1H1Y1, Canada",43.8916387,-78.8638313
"285 Burk, Oshawa, ON, L1J 4C5",43.8881502,-78.8680308
"141 Tresane Street, Oshawa, ON, L1J 1T7",43.8839195,-78.8631015
"208 Cromwell Avenue, Oshawa, ON, L1J 4T8",43.8892874,-78.8734539
"438 King St. W., Oshawa, ON, L1J 2K9",43.8944109,-78.8804152
" 110 Park Rd N, Oshawa, ON, L1J 4L3",43.8981689,-78.8755108
"693 Carnegie Avenue, Oshawa, ON, L1G 4R5",43.9156051,-78.8720015
"64 Arlington Ave., Oshawa, ON, L1G 2N4",43.9120109,-78.87261
"386 Division Street, Oshawa, ON, L1G 5M9",43.9090885,-78.8619958
"97 Adelaide Ave E, Oshawa, ON, L1G 1Z2",43.9048089,-78.8628045
"274 William Street East, Oshawa, ON, L1G 1K8",43.902615,-78.8546907
"71 Lasalle Ave, Oshawa, ON, L1H 5Y3",43.8996326,-78.846028
"443 Colborne St  E, Oshawa, ON, L1G 7H4",43.904513,-78.8490796
"374 Surrey Drive, Oshawa, ON, L1G 6H1",43.9114255,-78.8467247
"370 Blackthorn Street, Oshawa, ON, L1K 1K9",43.9149798,-78.8348579
"1278 Kilmaurs Avenue, Oshawa, ON, L1K 2A4",43.9176421,-78.8213414
"1351 Baynes Ave, Oshawa, ON, L1K 0C7",43.9297853,-78.8264739
"1069 Loganberry Street, Oshawa, ON, L1K 2W3",43.9331354,-78.8320016
"1153 Forest Hill Court, Oshawa, ON, L1K 2K9",43.9364335,-78.8404984
"1039 Coldstream Drive, Oshawa, ON, L1K 0J6",43.9440238,-78.854139
"938 Taggart Crescent, Oshawa, ON, L1K 0E5",43.9367365,-78.850129
"902 Beaconhill Crt, Oshawa, ON, L1K 1Y4",43.9267798,-78.8541678
"1055 Central Park Blvd N , Oshawa, ON, L1G 7M4",43.9282424,-78.8617207
"222 Nonquon Rd , Oshawa, ON, L1G 3S6",43.9344549,-78.8703325
"270 cedar valley blvd, Oshawa, ON, L1G 3W3",43.932819,-78.8898557
"221 Ormond Drive, Oshawa, ON, L1G 6T7",43.9366949,-78.8705039
"1087 Ormond Drive,, Oshawa, ON, L1K 0E8",43.9490853,-78.8744437
"398 Elmwood Court, Oshawa, ON, L1G 7X8",43.949683,-78.8801278
"366 Raike Drive, Oshawa, ON, L1L 0B1",43.9547355,-78.8847266
"190 Samac Court, Oshawa, ON, L1G 7V9",43.9458515,-78.8904084
"2387 Kentucky Derby Way, Oshawa, ON, L1L0H3",43.9561553,-78.9066883
"95 Nearco Gate, Oshawa, ON, L1L 0J2",43.9598566,-78.8984949
"2529 Bridle Road South, Oshawa, ON, L1L 0J1",43.9637561,-78.8922079
"18b Howden Road West, Oshawa, ON, L1H 0M1",43.9998844,-78.9199952
"345 Dufferin Street, Toronto, ON, M6K 3G1",43.641067,-79.4277078
"105 West Lodge Ave, Toronto, ON, M6K2T8",43.6454448,-79.4366491
"241 Lansdowne Avenue, Toronto, ON, M6K 2W2",43.648753,-79.4390549
"3 Geoffrey Street, Toronto, ON, M6R 1P2",43.6488858,-79.4450152
"202 GRENADIER RD., TORONTO, ON, M6R1R7, Canada",43.6478593,-79.4566546
"33-470 RONCESVALLES AVENUE, TORONTO, ON, M6R 2N5, Canada",43.6398713,-79.4465321
"2269 LAKE SHORE BLVD. W, ETOBICOKE, ON, M8V 3X6, Canada",43.6196334,-79.4842971
"164 Berry Road , Etobicoke, ON, M8Y 1W5",43.6369989,-79.4910873
"34 Moynes Avenue, Toronto, ON, M8Y 3B8",43.628965,-79.4996733
"23 Uno Drive, Etobicoke, ON, M8Z 3N7",43.6274581,-79.5046374
"41 Castlebar Rd, Etobicoke, ON, M8Z 2J7",43.6313954,-79.510304
"59 Athol Avenue, Etobicoke, ON, M8Z 2A7",43.6276838,-79.51149
"119 York View Drive, Etobicoke, ON, M8Z 2G5",43.6288007,-79.5145428
"983 Islington Ave, Toronto, ON, M8Z 4P9",43.6291768,-79.5168048
"1185 The Queensway, Toronto, ON, M8Z 0C6",43.62187,-79.5215387
"100 Simpson Ave., Etobicoke, ON, M8Z 1E3",43.6175395,-79.5041102
"82 Sixth Street, Toronto, ON, M8V 3A3",43.5990486,-79.503627
"135 Eighth Street, Toronto, ON, M8V 3C8",43.6012759,-79.5065758
"20 Garnett Janes Road, Toronto, ON, M8V 3Z1",43.6016111,-79.5092479
"50 Carnation Avenue, Toronto, ON, M8V0B8",43.6008958,-79.5259266
"10 Edilou Drive, Toronto, ON, M8W 4B2",43.6057002,-79.5318672
"236 Alderbrae Avenue, Toronto, ON, M8W 4K7",43.6080233,-79.5433304
"25 Alcan Avenue, Toronto, ON, M8W 1V2",43.5941546,-79.5439012
"9 Dover Drive, Toronto, ON, M8W 1V7",43.595485,-79.5435207
"44 Forty First Street, Toronto, ON, M8W 3N6",43.5885153,-79.5423541
"1040 Shaw Drive, Mississauga, ON, L5G 3Z4",43.5648332,-79.5735794
"2338 Chilsworthy Ave  , Mississauga, ON, L5B 2R1",43.5622208,-79.6229046
"25 Paisley Blvd West, Mississauga, ON, L5B1E3",43.5756723,-79.6109488
"3121 Kirwin Ave, Mississauga, ON, L5A 3K9",43.5859044,-79.6157364
"135 Hillcrest Ave, Mississauga, ON, L5B 4B1",43.5808682,-79.6255149
"155 Hillcrest Avenue, Mississauga, ON, L5B 3Z2",43.5800932,-79.6251639
